Nagy Péter;R1T7Y9B4;Laptop;egy magas minőségű laptop kiváló teljesítménnyel és funkciókkal.;piros;25
Kovács Anna;M3X8Y0Z2;Okostelefon;a legújabb okostelefon lenyűgöző kamerával és gyors processzorral.;kék;50
Tóth Katalin;P4D3F2S1;Tablet;egy sokoldalú tablet a munkához és szórakozáshoz.;zöld;30
Szabó Gábor;H9J4H5L6;Fejhallgató;kényelmes fejhallgató kristálytiszta hangzással.;piros;100
Horváth Lászlo;X2T0O2W2;Okosóra;stílusos okosóra a napi tevékenységek követéséhez.;kék;40
Molnar Mária;Q1A6C4E9;Kamera;professzionális kamera emlékezetes pillanatok megörökítéséhez.;sárga;15
Varga Zoltán;E7G0D9S2;Nyomtató;megbízható nyomtató kiváló minőségű nyomtatáshoz és másolatokhoz.;zöld;20
Németh Ildikó;K3I5S7T8;Hangszórók;erőteljes hangszórók magával ragadó audioélmányhez.;kék;35
Kiss Tamás;B4I0L2L6;Billentyűzet;tartós billentyűzet hatásos gépeléshez.;piros;60
Fekete Erika;J5S9U3V7;Egér;ergonómikus egér pontos vezérléshez.;sárga;80
Mészáros Miklós;P1R0D8O0;TV;nagy képernyős TV lenyűgöző képekkel és intelligens funkciókkal.;piros;10
Balogh Judit;R5E3F6R5;Hűtő;tágas hűtő az élelmiszerek frissen tartásához.;kék;5
Takács András;M4I5K7R0;Mikrohullámú sütő;kompakt mikrohullámú sütő a gyors és egyszerű főzéshez.;sárga;25
Simon Edit;K9A7V0E2;Kávéfőző;hatásos kávéfőző a mindennapi koffeinadaghoz.;zöld;30
Farkas Ferenc;N4A6G3Y5;Turmixgép;erőteljes turmixgép finom smoothie-k készítéséhez.;kék;20
Nagy Beáta;K8O3V2A8;Porszívó;magas teljesítményű porszívó a tiszta otthonért.;sárga;12
Kovács Gergő;K6E1N9Y4I;Kenyérpirító;megbízható kenyérpirító a reggeli pirítosokhoz.;piros;40
Sándor Réka;F3E8R3E2;Vasaló;szilárd vasaló a gyűrődésmentes ruhákért.;zöld;15
Tóth Tibor;H9A4J7S2Z;Hajszárító;gyors és hatásos hajszárító a frizurakészítéshez.;kék;50
Szabó Éva;S2Z6E3K1R;Ágy;kényelmes ágy a pihenéshez a hosszú nap után.;sárga;8
