ID	Vnev	Knev	Telepules
1	Jackson	Misfar	Kecskemét
2	Gibson	Vincent	Kecskemét
3	al-Masood	Taylor	Békéscsaba
4	Rodriquez	Taylor	Kőszeg
5	el-Dada	Aaron	Budapest
6	Sands	Maajida	Miskolc
7	Rozinski	Velasquez	Békéscsaba
8	Rivera	Thaine	Budapest
9	el-Wali	Keanu	Debrecen
10	Nguyen	Forest	Békéscsaba
11	Herrera	Nicholas	Kecskemét
12	Rice	Travion	Szeged
13	Martin	Caleb	Kőszeg
14	Hasan	Michael	Kőszeg
15	Hart	Jacob	Pécs
16	al-Yasin	Breana	Kőszeg
17	al-Allam	Hannah	Miskolc
18	Combs	Ana	Miskolc
19	Foster	Kyle	Kőszeg
20	al-Miah	Shania	Sopron
21	Bauer	Maa'iz	Békéscsaba
22	al-Azizi	Anne	Békéscsaba
23	Ayala	Rosie	Győr
24	Hobdy	Rahiel	Sopron
25	Hubbart	Benjamin	Debrecen
26	Zerna	Devyn	Zalaegerszeg
27	al-Munir	Sierra	Budapest
28	Ibarra	Abdul Jaleel	Zalaegerszeg
29	Taylor	Kayla	Pécs
30	Lai	Krista	Kőszeg
31	el-Kaiser	Ruby	Budapest
32	el-Agha	Alex	Kecskemét
33	Torrero	Paul	Békéscsaba
34	al-Ally	David	Sopron
35	Lujan	Ryan	Miskolc
36	Pham	Annalisa	Miskolc
37	Mcqueen	Cody	Győr
38	James	Mehgan	Békéscsaba
39	Pinnecoose	Matthew	Zalaegerszeg
40	Bartee	Heather	Zalaegerszeg
41	Thompson	Oscar	Pécs
42	Urrutia	Cheyenne	Szeged
43	Gutierrez	Saamiqa	Győr
44	Fresquez	Joshua	Budapest
45	Kim	Rory	Miskolc
46	al-El-Sayed	Jonathan	Kecskemét
47	Tixier	Tyra	Békéscsaba
48	Ganesh	Cory	Budapest
49	Garcia	Duncan	Debrecen
50	Pacheco	Nyree	Pécs
