ID	vnev	knev	telepules
1	Németh	Zsuzsanna	Kecskemét
2	Kis	Dániel	Lenti
3	Elek	Klaudia	Lenti
4	Pataki	Kitti	Zalakaros
5	Pécsi	Tímea	Budapest
6	Sípos	Máté	Kaba
7	Szakács	György	Veszprém
8	Bencsik	Dóri	Göd
9	Rácz	Ádám	Sárvár
10	Varga	Béla	Kaba
11	Takács	Lajos	Mór
12	Farkas	Roland	Dombóvár
13	Balogh	Réka	Tata
14	Elek	Rebeka	Sopron
15	Ötvös	Henrietta	Bük
16	Hujber	Dóra	Veszprém
17	Elek	Zsuzsanna	Fertőd
18	Töreki	Attila	Tatabánya
19	Elek	Anna	Szentes
20	Szabó	Rebeka	Békéscsaba
21	Galambos	Nóra	Pécs
22	Juhász	Gyula	Tata
23	Vámos	Fanni	Mór
24	Szekeres	Tímea	Ózd
25	Szabó	Zoltán	Dunaújváros
26	Töreki	Henrietta	Tata
27	Takács	Rebeka	Mór
28	Mészáros	Nóra	Ajka
29	Győri	Antal	Budapest
30	Vámos	György	Szentes
31	Balogh	Alexandra	Csorna
32	Galambos	Lili	Baja
33	Hujber	Eszter	Lenti
34	Varga	Gábor	Kiskunhalas
35	Balogh	Jenő	Tokaj
36	Rácz	Nándor	Miskolc
37	Galambos	Gergely	Sárvár
38	Pataki	Margit	Tatabánya
39	Magyar	Martin	Budapest
40	Takács	Antal	Szeged
41	Fekete	Luca	Csorna
42	Galambos	Barbara	Szentes
43	Kis	Ilonka	Fertőd
44	Győri	Réka	Békéscsaba
45	Szabó	Zoltán	Tata
46	Hujber	Alexandra	Veszprém
47	Molnár	Ilonka	Zalaegerszeg
48	Németh	Petra	Dunaújváros
49	Kocsis	Nándor	Makó
50	Galambos	Lili	Tata
51	Bencsik	Bence	Szentes
52	Hujber	Balázs	Sárvár
53	Mészáros	Dóra	Dombóvár
54	Balogh	Nándor	Tatabánya
55	Tóth	Béla	Göd
56	Szekeres	Nóra	Kiskunhalas
57	Hujber	Dóra	Tokaj
58	Somos	Henrietta	Kiskunhalas
59	Gál	Helga	Csorna
60	Elek	Luca	Dombóvár
61	Töreki	Noémi	Bük
62	Kiss	Eszter	Dombóvár
63	Sípos	Alexandra	Mór
64	Kiss	Fanni	Pápa
65	Kocsis	Aladár	Békéscsaba
66	Szekeres	Lilla	Sopron
67	Szabó	Gabriella	Békéscsaba
68	Győri	Anna	Fertőd
69	Rácz	Réka	Győr
70	Takács	Barbara	Pápa
71	Hujber	Réka	Tokaj
72	Rácz	Antal	Zalakaros
73	Juhász	János	Győr
74	Somos	Helga	Csorna
75	Somos	Viktória	Fertőd
76	Hujber	Viktória	Sárvár
77	Hujber	Gábor	Debrecen
78	Gál	András	Győr
79	Szabó	Katalin	Bük
80	Pécsi	Noémi	Bük
81	Varga	Gergely	Zalakaros
82	Tóth	Antal	Zalaegerszeg
83	Elek	Noémi	Lenti
84	Takács	János	Göd
85	Ötvös	Lajos	Békéscsaba
86	Magyar	Zsófia	Fertőd
87	Rácz	Balázs	Zalakaros
88	Hujber	Zsolt	Mór
89	Molnár	Tamás	Makó
90	Farkas	Zsolt	Kecskemét
91	Kovács	Nándor	Pápa
92	Elek	András	Csongrád
93	Szekeres	András	Kőszeg
94	Vámos	Gábor	Békéscsaba
95	Elek	Tamás	Csongrád
96	Gál	Tamás	Szeged
97	Mészáros	Nóra	Dunaújváros
98	Kocsis	Ilonka	Csorna
99	Rácz	Nikolett	Göd
100	Pataki	Katalin	Göd
101	Kiss	Zsuzsanna	Dombóvár
102	Balogh	Nikolett	Kiskunhalas
103	Fekete	Gabriella	Kapuvár
104	Torma	András	Makó
105	Pataki	Alajos	Budapest
106	Pataki	Aladár	Fertőd
107	Somos	Zoltán	Tata
108	Vámos	Gábor	Zalaegerszeg
109	Gál	Zsuzsanna	Zalakaros
110	Németh	Zsolt	Pápa
111	Sípos	Barbara	Dombóvár
112	Molnár	Martin	Tata
113	Ötvös	Margit	Győr
114	Fehér	Gábor	Miskolc
115	Elek	Margit	Tatabánya
116	Balogh	Dániel	Miskolc
117	Takács	Mariann	Tata
118	Gál	Ferenc	Salgótarján
119	Szilágyi	Lili	Miskolc
120	Sípos	Dóra	Győr
121	Nagy	László	Szentes
122	Töreki	Nóra	Bük
123	Torma	Zsófia	Ajka
124	Győri	Balázs	Kiskunhalas
125	Pataki	Bálint	Miskolc
126	Németh	Lili	Győr
127	Szabó	Aladár	Mór
128	Pataki	Dániel	Budapest
129	Somos	János	Pápa
130	Szilágyi	Anna	Dombóvár
131	Szekeres	István	Sopron
132	Fekete	Roland	Pápa
133	Vámos	Jenő	Tata
134	Kocsis	Martin	Tatabánya
135	Szekeres	Petra	Kaba
136	Molnár	Zsófia	Csongrád
137	Takács	Gábor	Kecskemét
138	Győri	Rozi	Tokaj
139	Győri	Krisztina	Szeged
140	Győri	Barbara	Mezőkövesd
141	Fehér	Nikolett	Zalaegerszeg
142	Tóth	István	Kaposvár
143	Rácz	Noémi	Dombóvár
144	Gál	Lajos	Bük
145	Torma	Lilla	Lenti
146	Kis	Kitti	Salgótarján
147	Takács	Nikolett	Ajka
148	Somos	Dóri	Baja
149	Kis	Attila	Győr
150	Kiss	Gábor	Csorna
151	Ötvös	Nikolett	Kaba
152	Magyar	Zsófia	Pápa
153	Fekete	Helga	Ajka
154	Szabó	Fanni	Zalakaros
155	Németh	Zsuzsanna	Zalaegerszeg
156	Tóth	János	Kiskunhalas
157	Kocsis	Ilonka	Kiskunhalas
158	Pataki	Kálmán	Ózd
159	Kis	Bálint	Zalakaros
160	Szilágyi	Helga	Zalakaros
161	Vámos	Gyula	Ajka
162	Kis	Kálmán	Dunaújváros
163	Juhász	Nóra	Szeged
164	Kovács	Klaudia	Tata
165	Halász	Ilonka	Mezőkövesd
166	Ötvös	Antal	Ózd
167	Sípos	Tímea	Csorna
168	Kiss	Helga	Göd
169	Galambos	András	Dombóvár
170	Halász	Zsófia	Mezőkövesd
171	Halász	Zsolt	Hatvan
172	Takács	Eszter	Ajka
173	Takács	Attila	Szeged
174	Kocsis	Albert	Budapest
175	Töreki	Petra	Veszprém
176	Kocsis	Katalin	Salgótarján
177	Kiss	Bálint	Kapuvár
178	Fehér	László	Csorna
179	Szilágyi	László	Makó
180	Fekete	Tímea	Békéscsaba
181	Sípos	Patrik	Miskolc
182	Szakács	Attila	Pécs
183	Szakács	Martin	Zalaegerszeg
184	Somos	Nándor	Szentes
185	Magyar	Aladár	Kapuvár
186	Nagy	Gábor	Kecskemét
187	Takács	Rozi	Kecskemét
188	Magyar	Viktória	Szeged
189	Fekete	Bence	Tatabánya
190	Hujber	Krisztina	Kőszeg
191	Ötvös	Lajos	Salgótarján
192	Ötvös	Alexandra	Békéscsaba
193	Galambos	Alexandra	Göd
194	Kis	Patrik	Miskolc
195	Szakács	Béla	Kaba
196	Torma	Kitti	Zalaegerszeg
197	Mészáros	Albert	Sárvár
198	Pécsi	Petra	Ajka
199	Németh	Zsolt	Veszprém
200	Molnár	Béla	Pécs
201	Szekeres	Ilonka	Lenti
202	Kiss	Tímea	Kaba
203	Vámos	Mariann	Szeged
204	Pécsi	Martin	Tokaj
205	Szilágyi	Lili	Kaba
206	Magyar	Attila	Szeged
207	Farkas	Adrienn	Salgótarján
208	Tóth	Kitti	Kapuvár
209	Pécsi	Bence	Lenti
210	Mészáros	Nikolett	Szeged
211	Molnár	Rozi	Szeged
212	Gál	Zsolt	Pápa
213	Bencsik	Margit	Ózd
214	Molnár	Fanni	Csorna
215	Tóth	Attila	Fertőd
216	Gál	Réka	Zalakaros
217	Takács	Tímea	Sárvár
218	Szilágyi	Nikolett	Pécs
219	Ötvös	Ferenc	Mezőkövesd
220	Pataki	Roland	Ajka
221	Bencsik	Zsolt	Mór
222	Elek	György	Budapest
223	Kocsis	Albert	Kaba
224	Kiss	Rozi	Bük
225	Szakács	Dóra	Hatvan
226	Sípos	Eszter	Bük
227	Galambos	Kálmán	Fertőd
228	Nagy	Lilla	Kapuvár
229	Ötvös	Martin	Sárvár
230	Hujber	Antal	Tokaj
231	Balogh	Krisztina	Ajka
232	Takács	Gabriella	Baja
233	Ötvös	László	Sopron
234	Szekeres	Lilla	Hatvan
235	Nagy	Nóra	Debrecen
236	Torma	Patrik	Békéscsaba
237	Sípos	Zsuzsanna	Zalaegerszeg
238	Pataki	Adrienn	Miskolc
239	Magyar	Antal	Pécs
240	Mészáros	Balázs	Fertőd
241	Győri	Tímea	Dombóvár
242	Galambos	Luca	Szeged
243	Magyar	Helga	Szentes
244	Szekeres	Eszter	Kaposvár
245	Szilágyi	Helga	Sárvár
246	Szakács	István	Zalaegerszeg
