id	nev	telepules
1	Németh Lilla	Csongrád
2	Kis Jenő	Békéscsaba
3	Elek Adrienn	Fertőd
4	Fekete Gábor	Sárvár
5	Kocsis Katalin	Bük
6	Takács Balázs	Tatabánya
7	Torma Dániel	Kaba
8	Gál Roland	Ózd
9	Töreki Eszter	Kaba
10	Halász Albert	Tokaj
11	Takács Gyula	Salgótarján
12	Gál Adrienn	Ózd
13	Győri Mariann	Fertőd
14	Győri Noémi	Makó
15	Somos András	Budapest
16	Halász Barbara	Baja
17	Németh Antal	Hatvan
18	Balogh Krisztina	Mór
19	Molnár László	Csongrád
20	Somos Zoltán	Zalaegerszeg
21	Vámos Jenő	Hatvan
22	Molnár Alexandra	Tata
23	Kis Antal	Dunaújváros
24	Nagy Nikolett	Ózd
25	Győri Noémi	Csongrád
26	Kovács Henrietta	Budapest
27	Magyar Eszter	Zalakaros
28	Takács Lili	Hatvan
29	Szakács Alajos	Göd
30	Szekeres Martin	Bük
31	Farkas Balázs	Lenti
32	Győri Petra	Makó
33	Pécsi Patrik	Salgótarján
34	Takács Luca	Kecskemét
35	Töreki Dániel	Kaba
36	Bencsik Antal	Lenti
37	Győri Albert	Sárvár
38	Fehér Mariann	Kaposvár
39	Tóth Gergely	Békéscsaba
40	Szakács Kálmán	Pécs
41	Varga László	Lenti
42	Nagy Kálmán	Szeged
43	Németh Mariann	Miskolc
44	Kovács Tamás	Zalakaros
45	Galambos Lili	Lenti
46	Halász Fanni	Salgótarján
47	Gál Petra	Csorna
48	Kovács Noémi	Hatvan
49	Halász Réka	Körmend
50	Farkas Jenő	Mezőkövesd
51	Bencsik Katalin	Kapuvár
52	Fekete Gabriella	Kaposvár
53	Elek Gyula	Körmend
54	Fehér Lili	Miskolc
55	Galambos Jenő	Győr
56	Galambos György	Debrecen
57	Nagy Balázs	Mór
58	Fekete Rozi	Hatvan
59	Fehér János	Szeged
60	Molnár Zsófia	Békéscsaba
61	Fehér Antal	Kapuvár
62	Kiss Barbara	Pécs
63	Szabó Patrik	Kapuvár
64	Pécsi János	Mezőkövesd
65	Szekeres Rudolf	Ajka
66	Farkas Krisztina	Mezőkövesd
67	Kiss Ádám	Bük
68	Mészáros Noémi	Bük
69	Ötvös Bálint	Békéscsaba
70	Pataki Bálint	Zalaegerszeg
71	Magyar Katalin	Békéscsaba
72	Fekete Kálmán	Mezőkövesd
73	Kovács Rudolf	Kőszeg
74	Elek Helga	Hatvan
75	Kovács Margit	Kaba
76	Torma Eszter	Kapuvár
77	Győri Katalin	Lenti
78	Takács Ilonka	Körmend
79	Somos Roland	Kapuvár
80	Somos Roland	Göd
81	Rácz Gabriella	Csongrád
82	Balogh Anna	Szentes
83	Nagy Rozi	Kiskunhalas
84	Rácz Bence	Pécs
85	Szakács Zsuzsanna	Ajka
86	Szabó Katalin	Kapuvár
87	Galambos Margit	Mór
88	Szakács Nóra	Tata
89	Ötvös Tímea	Bük
90	Fehér Patrik	Csorna
91	Juhász György	Kaposvár
92	Juhász Martin	Csongrád
93	Juhász István	Csorna
94	Juhász Margit	Csongrád
95	Molnár Zsuzsanna	Tatabánya
96	Szilágyi Lajos	Fertőd
97	Pataki Ilonka	Veszprém
98	Szilágyi Ádám	Kiskunhalas
99	Mészáros János	Makó
100	Gál Jenő	Mezőkövesd
101	Győri Nóra	Kecskemét
102	Fehér Dóri	Tata
103	Fekete Dóra	Ajka
104	Juhász Roland	Debrecen
105	Tóth Réka	Debrecen
106	Somos Tamás	Ajka
107	Pataki András	Csongrád
108	Ötvös János	Mezőkövesd
109	Sípos Béla	Sárvár
110	Kocsis Rozi	Kiskunhalas
111	Kis Adrienn	Kecskemét
112	Hujber Aladár	Dombóvár
113	Elek Klaudia	Miskolc
114	Szabó János	Dombóvár
115	Sípos Anna	Dunaújváros
116	Magyar Kitti	Pécs
117	Vámos Attila	Kaposvár
118	Ötvös Tamás	Zalakaros
119	Tóth Henrietta	Göd
120	Fekete Luca	Zalaegerszeg
121	Juhász Nándor	Zalaegerszeg
122	Pataki Lajos	Zalakaros
123	Bencsik János	Lenti
124	Ötvös Viktória	Bük
125	Németh István	Dombóvár
126	Nagy Gergely	Makó
127	Pécsi József	Körmend
128	Kocsis Ilonka	Csongrád
129	Juhász Martin	Kiskunhalas
130	Szabó Henrietta	Debrecen
131	Fehér Rozi	Kecskemét
132	Szilágyi Noémi	Tata
133	Pécsi Dóri	Ózd
134	Mészáros Dániel	Békéscsaba
135	Kis Zoltán	Veszprém
136	Gál Dóri	Zalakaros
137	Kis Zsuzsanna	Csongrád
138	Kocsis Zsolt	Hatvan
139	Somos Barbara	Hatvan
140	Németh Katalin	Kecskemét
141	Kiss Henrietta	Győr
142	Varga Aladár	Debrecen
143	Magyar Dániel	Sopron
144	Gál Katalin	Mezőkövesd
145	Bencsik Dóri	Debrecen
146	Szakács Margit	Csorna
147	Sípos Zoltán	Kecskemét
148	Szakács Ilonka	Békéscsaba
149	Győri Alexandra	Kecskemét
150	Halász Zsolt	Zalakaros
151	Kovács Rebeka	Baja
152	Kovács Lilla	Kőszeg
153	Pécsi Balázs	Lenti
154	Szekeres Alajos	Dunaújváros
155	Farkas Patrik	Sopron
156	Kis Gábor	Sopron
157	Somos Fanni	Ózd
158	Pécsi Adrienn	Pécs
159	Halász Petra	Zalakaros
160	Ötvös Aladár	Pécs
161	Hujber Alajos	Csorna
162	Szekeres Helga	Zalakaros
163	Takács Gergely	Makó
164	Németh Bálint	Sárvár
165	Pataki Nóra	Békéscsaba
166	Szekeres Viktória	Veszprém
167	Pataki Mariann	Dunaújváros
168	Juhász Bálint	Kaposvár
169	Galambos Gergely	Salgótarján
170	Ötvös Luca	Tatabánya
171	Takács Dániel	Debrecen
172	Somos Antal	Kőszeg
173	Juhász Luca	Zalaegerszeg
174	Sípos Patrik	Bük
175	Halász András	Makó
176	Szekeres Martin	Zalaegerszeg
177	Pataki György	Budapest
178	Szilágyi Lili	Zalaegerszeg
179	Németh Nikolett	Makó
180	Elek Ádám	Bük
181	Töreki Helga	Salgótarján
182	Halász Katalin	Szentes
183	Gál Máté	Bük
184	Pataki Barbara	Mezőkövesd
185	Elek Tamás	Csongrád
186	Kiss Anna	Tokaj
187	Bencsik Alexandra	Debrecen
188	Bencsik Viktória	Dunaújváros
189	Torma János	Csongrád
190	Galambos Dániel	Debrecen
191	Kovács Noémi	Zalakaros
192	Szakács Ádám	Debrecen
193	Kiss Nóra	Sárvár
194	Bencsik Lili	Szeged
195	Kiss Kitti	Mór
196	Kis Alajos	Kapuvár
197	Molnár Lilla	Lenti
198	Takács Eszter	Zalaegerszeg
199	Szilágyi Lajos	Salgótarján
200	Mészáros Zsuzsanna	Békéscsaba
201	Győri Alajos	Zalaegerszeg
202	Elek István	Dunaújváros
203	Tóth Bálint	Sopron
204	Németh Rudolf	Csorna
205	Töreki Rudolf	Bük
206	Szakács Martin	Makó
207	Töreki József	Göd
208	Torma Máté	Pécs
209	Balogh Albert	Lenti
210	Halász Bálint	Ózd
211	Töreki Antal	Veszprém
212	Szakács György	Pécs
213	Magyar Béla	Debrecen
214	Galambos Katalin	Dombóvár
215	Rácz Rudolf	Miskolc
216	Gál László	Pécs
217	Ötvös Zsolt	Dombóvár
218	Fehér Lajos	Göd
219	Halász János	Mór
220	Kocsis Béla	Salgótarján
221	Juhász István	Kecskemét
222	Szakács Nóra	Kaposvár
223	Tóth József	Kaba
224	Szekeres Rebeka	Makó
225	Ötvös Kálmán	Debrecen
226	Sípos Eszter	Tata
227	Pécsi Gergely	Pécs
228	Szekeres Aladár	Ajka
229	Németh János	Lenti
230	Galambos Béla	Sárvár
231	Kis Jenő	Kőszeg
232	Pécsi Aladár	Kaposvár
233	Gál Katalin	Sárvár
234	Somos Ferenc	Sopron
235	Fehér Nikolett	Tokaj
236	Fehér Tímea	Tatabánya
237	Kovács József	Mezőkövesd
238	Galambos Béla	Kapuvár
239	Molnár Bálint	Göd
240	Somos Attila	Békéscsaba
241	Farkas Nándor	Szeged
242	Kiss Nikolett	Baja
243	Szilágyi Dóra	Miskolc
244	Galambos Dóra	Sopron
245	Fehér Nóra	Göd
246	Szakács Bence	Zalaegerszeg
247	Pécsi János	Sárvár
248	Kis Zsófia	Kapuvár
249	Nagy Nóra	Bük
250	Kocsis Luca	Lenti
251	Juhász Krisztina	Kőszeg
252	Mészáros Petra	Sopron
253	Elek Gabriella	Körmend
254	Somos László	Győr
255	Elek Helga	Baja
256	Pécsi Fanni	Miskolc
257	Varga Klaudia	Kőszeg
258	Hujber Patrik	Kaposvár
259	Pécsi Ilonka	Fertőd
260	Varga László	Bük
261	Kis Máté	Tokaj
262	Nagy Patrik	Kőszeg
263	Győri Balázs	Kecskemét
264	Fehér László	Győr
265	Rácz Lajos	Kecskemét
266	Szakács Attila	Lenti
267	Kocsis Anna	Szeged
268	Szilágyi Balázs	Salgótarján
269	Sípos Margit	Tata
270	Mészáros Barbara	Zalakaros
271	Szekeres Lilla	Budapest
272	Pataki Nándor	Kiskunhalas
273	Farkas Antal	Ózd
274	Kis Tamás	Csorna
275	Pataki Rudolf	Zalaegerszeg
276	Somos Gábor	Hatvan
277	Fekete Eszter	Lenti
278	Magyar Bálint	Lenti
279	Juhász János	Pápa
280	Szilágyi Réka	Sárvár
281	Juhász Gábor	Pápa
282	Juhász István	Bük
283	Győri Rudolf	Szentes
284	Kis Béla	Mór
285	Győri György	Tokaj
286	Torma Antal	Salgótarján
287	Torma Lilla	Fertőd
288	Fekete Margit	Zalaegerszeg
289	Tóth Gabriella	Csorna
290	Sípos Gergely	Pápa
291	Szabó Krisztina	Salgótarján
292	Szabó Alexandra	Pápa
293	Galambos Ilonka	Kőszeg
294	Pataki Henrietta	Göd
295	Pécsi Roland	Sárvár
296	Kocsis Aladár	Zalakaros
297	Balogh György	Dombóvár
298	Pataki Zsuzsanna	Tokaj
299	Ötvös Nándor	Bük
300	Galambos Lili	Kecskemét
301	Elek Zsófia	Kőszeg
302	Szabó Bence	Sárvár
303	Magyar Noémi	Kecskemét
304	Somos József	Kaposvár
305	Győri Réka	Pápa
306	Magyar Patrik	Kaposvár
307	Juhász Anna	Salgótarján
308	Gál Nikolett	Békéscsaba
309	Rácz Helga	Göd
310	Sípos Adrienn	Debrecen
311	Hujber Aladár	Fertőd
312	Szilágyi János	Pápa
313	Kocsis Ádám	Csorna
314	Pécsi Petra	Salgótarján
315	Varga Martin	Kiskunhalas
316	Kiss Martin	Budapest
317	Kiss Ferenc	Hatvan
318	Sípos Mariann	Körmend
319	Kiss Eszter	Pécs
320	Kis István	Szentes
321	Fehér Barbara	Veszprém
322	Szakács Kálmán	Zalakaros
323	Farkas Eszter	Körmend
324	Varga Adrienn	Csorna
325	Molnár Nándor	Csongrád
326	Galambos Viktória	Ózd
327	Fehér Kálmán	Zalakaros
328	Kiss Mariann	Dombóvár
329	Farkas Ádám	Dunaújváros
330	Galambos Nikolett	Szentes
331	Pécsi László	Kőszeg
332	Torma Eszter	Zalakaros
333	Molnár Réka	Miskolc
334	Halász János	Kaba
335	Varga Krisztina	Győr
336	Bencsik Alajos	Hatvan
337	Mészáros Martin	Dunaújváros
338	Hujber Petra	Göd
339	Gál Krisztina	Veszprém
340	Farkas Mariann	Debrecen
341	Molnár Dóri	Kőszeg
342	Elek Zoltán	Kecskemét
343	Takács Klaudia	Zalakaros
344	Farkas Patrik	Ajka
345	Magyar Zsófia	Ajka
346	Halász Fanni	Dombóvár
347	Kovács Ádám	Sopron
348	Elek Patrik	Kaposvár
349	Somos Patrik	Veszprém
350	Elek Ilonka	Győr
351	Balogh Adrienn	Kaposvár
352	Szabó Gábor	Körmend
353	Bencsik Attila	Hatvan
354	Sípos Nándor	Fertőd
355	Tóth Kitti	Dombóvár
356	Galambos Bálint	Fertőd
357	Vámos Bence	Zalakaros
358	Varga Luca	Miskolc
359	Varga Patrik	Dunaújváros
360	Ötvös Antal	Körmend
361	Juhász Balázs	Salgótarján
362	Szilágyi Béla	Baja
363	Hujber József	Sárvár
364	Kis Aladár	Csongrád
365	Pécsi Béla	Kapuvár
366	Pataki Patrik	Fertőd
367	Rácz Rebeka	Szeged
368	Pécsi Jenő	Körmend
369	Mészáros István	Szeged
370	Németh Alexandra	Sárvár
371	Kovács János	Salgótarján
372	Kis Gabriella	Győr
373	Varga Barbara	Debrecen
374	Molnár Helga	Kapuvár
375	Takács Anna	Győr
376	Szabó Rozi	Bük
377	Somos Gyula	Tata
378	Somos Lili	Csorna
379	Farkas Tamás	Miskolc
380	Molnár Albert	Kecskemét
381	Mészáros Attila	Csorna
382	Gál Eszter	Pápa
383	Hujber Nikolett	Kapuvár
384	Pécsi György	Ajka
385	Szekeres Aladár	Tokaj
386	Gál Ilonka	Mezőkövesd
387	Németh Viktória	Kiskunhalas
388	Kis Klaudia	Kapuvár
389	Szakács Zoltán	Sopron
390	Kocsis Albert	Miskolc
391	Fehér Dániel	Zalakaros
392	Szabó Dóri	Kaba
393	Nagy Adrienn	Tata
394	Magyar Kitti	Tata
395	Kis Klaudia	Bük
396	Molnár Krisztina	Dombóvár
397	Ötvös Bence	Fertőd
398	Fekete Dóri	Lenti
399	Pécsi Dóra	Mezőkövesd
400	Kocsis Lili	Békéscsaba
