id	nev	lakhely
1	Somos Gabriella	Csorna
2	Győri Eszter	Békéscsaba
3	Fekete Bálint	Veszprém
4	Németh Gabriella	Kecskemét
5	Kiss György	Győr
6	Szakács József	Salgótarján
7	Pataki Lili	Mezőkövesd
8	Tóth Dóri	Mezőkövesd
9	Sípos Balázs	Kiskunhalas
10	Varga Dóra	Kapuvár
11	Varga Zoltán	Pécs
12	Töreki Dóri	Kiskunhalas
13	Hujber Zsuzsanna	Mór
14	Töreki Rozi	Kőszeg
15	Balogh Bálint	Miskolc
16	Fekete Viktória	Kőszeg
17	Tóth Viktória	Budapest
18	Nagy Kálmán	Mezőkövesd
19	Molnár Katalin	Veszprém
20	Molnár Attila	Debrecen
21	Balogh László	Makó
22	Rácz Kálmán	Körmend
23	Balogh Barbara	Dombóvár
24	Vámos Viktória	Kaba
25	Magyar Alexandra	Fertőd
26	Nagy Gyula	Fertőd
27	Pataki Alexandra	Fertőd
28	Németh Rudolf	Sopron
29	Molnár Krisztina	Baja
30	Mészáros József	Kiskunhalas
31	Gál Zsolt	Sárvár
32	Nagy Fanni	Csongrád
33	Szabó Katalin	Csorna
34	Somos Noémi	Veszprém
35	Vámos Gábor	Kecskemét
36	Tóth Gyula	Kiskunhalas
37	Balogh Antal	Tatabánya
38	Kiss Réka	Kapuvár
39	Kiss Viktória	Ajka
40	Farkas Fanni	Ózd
41	Magyar Mariann	Göd
42	Pécsi Gábor	Kaposvár
43	Fekete Tímea	Baja
44	Torma Lajos	Fertőd
45	Fekete Nándor	Kaposvár
46	Bencsik Roland	Salgótarján
47	Tóth Tamás	Pécs
48	Szilágyi Henrietta	Veszprém
49	Fehér János	Kaba
50	Takács János	Csorna
51	Tóth Ádám	Fertőd
52	Ötvös Zsolt	Kaba
53	Magyar Bálint	Fertőd
54	Vámos Gábor	Hatvan
55	Töreki Zsófia	Göd
56	Sípos András	Mór
57	Szabó Bence	Pápa
58	Németh Dóri	Göd
59	Elek Zoltán	Tokaj
60	Pataki Nóra	Békéscsaba
61	Rácz Kitti	Kőszeg
62	Magyar Adrienn	Baja
63	Vámos Fanni	Tatabánya
64	Szabó Adrienn	Miskolc
65	Torma Antal	Hatvan
66	Elek Lajos	Miskolc
67	Gál Aladár	Kiskunhalas
68	Bencsik Dóri	Tokaj
69	Pataki Albert	Szeged
70	Németh Attila	Sopron
71	Pataki Nóra	Pécs
72	Rácz Aladár	Körmend
73	Torma Alexandra	Csorna
74	Kovács Lajos	Mór
75	Kis Rudolf	Ózd
76	Szakács Ádám	Zalaegerszeg
77	Németh Tímea	Tokaj
78	Mészáros Margit	Tokaj
79	Pataki János	Baja
80	Kocsis Réka	Hatvan
81	Győri Zoltán	Salgótarján
82	Fehér Béla	Bük
83	Balogh Anna	Ajka
84	Tóth Nikolett	Tatabánya
85	Nagy Zsolt	Sopron
86	Torma Margit	Salgótarján
87	Pécsi Bálint	Sopron
88	Szabó Zsófia	Kaposvár
89	Vámos Viktória	Veszprém
90	Mészáros Henrietta	Göd
91	Sípos Gabriella	Dombóvár
92	Kis Bálint	Kaposvár
93	Németh Bence	Bük
94	Szilágyi Adrienn	Ajka
95	Takács Bence	Budapest
96	Szabó Lili	Sárvár
97	Molnár Katalin	Szentes
98	Elek Rebeka	Kecskemét
99	Halász Ilonka	Pécs
100	Juhász Noémi	Tatabánya
101	Balogh Béla	Ózd
102	Varga Dóri	Kaba
103	Molnár Nándor	Győr
104	Kiss Patrik	Kecskemét
105	Pécsi Roland	Tatabánya
106	Németh Rozi	Tata
107	Hujber Nóra	Csongrád
108	Szilágyi Gabriella	Kaposvár
109	Nagy Luca	Kiskunhalas
110	Farkas Zsolt	Kaba
111	Elek Patrik	Dunaújváros
112	Juhász Béla	Veszprém
113	Balogh Noémi	Pápa
114	Tóth Bálint	Mezőkövesd
115	Takács Attila	Dombóvár
116	Torma Béla	Dombóvár
117	Varga Kálmán	Kőszeg
118	Szabó Helga	Tatabánya
119	Mészáros Jenő	Békéscsaba
