id	nev
1	Kovács György
2	Kis Helga
3	Galambos Petra
4	Bencsik Máté
5	Halász Barbara
6	Ötvös Eszter
7	Németh Balázs
8	Nagy Nikolett
9	Mészáros István
10	Sípos Attila
11	Ötvös Rebeka
12	Rácz Tímea
13	Rácz Gyula
14	Juhász István
15	Kiss Krisztina
16	Torma Bence
17	Sípos Rudolf
18	Fehér Barbara
19	Galambos András
20	Németh Dániel
21	Galambos Gábor
22	Rácz Lili
23	Szakács Aladár
24	Takács György
25	Töreki Barbara
26	Hujber Viktória
27	Kocsis Albert
28	Ötvös Petra
29	Szabó Dániel
30	Varga Petra
31	Varga Nikolett
32	Galambos Jenő
33	Torma Zsuzsanna
34	Bencsik Gabriella
35	Gál Máté
36	Galambos Nóra
37	Juhász Alajos
38	Mészáros Gyula
39	Fehér Fanni
40	Gál Katalin
41	Fekete Ádám
42	Varga Klaudia
43	Kis Bálint
44	Kovács Mariann
45	Ötvös Balázs
46	Gál Nikolett
47	Győri Margit
48	Szakács Réka
49	Töreki Antal
50	Balogh Roland
51	Szekeres Gábor
52	Torma Attila
53	Fekete Petra
54	Nagy Zsuzsanna
55	Rácz György
56	Magyar Petra
57	Magyar Dóra
58	Szekeres Anna
59	Juhász Helga
60	Szakács Adrienn
61	Elek Noémi
62	Varga Nóra
63	Ötvös Tamás
64	Tóth Máté
65	Németh György
66	Mészáros Mariann
67	Győri Máté
68	Gál György
69	Bencsik Jenő
70	Sípos Alexandra
71	Kiss Tamás
72	Varga András
73	Nagy Noémi
74	Sípos Adrienn
75	Galambos Kálmán
76	Töreki Zsófia
77	Farkas Nóra
78	Nagy Dóra
79	Rácz Barbara
80	Juhász Lili
81	Vámos Krisztina
82	Kocsis László
83	Rácz Alexandra
84	Ötvös Kitti
85	Elek Lilla
86	Elek Lilla
87	Pataki Mariann
88	Pataki Nándor
89	Mészáros Lilla
90	Pataki Katalin
91	Szakács Mariann
92	Kovács Rudolf
93	Mészáros Kitti
94	Győri Antal
95	Pataki József
96	Fekete Lili
97	Bencsik Tamás
98	Mészáros Ilonka
99	Tóth Rebeka
100	Kovács Zsuzsanna
101	Torma Zsolt
102	Mészáros Margit
103	Kis Roland
104	Elek Klaudia
105	Szabó Mariann
106	Németh László
107	Fekete Nándor
108	Mészáros Gábor
109	Takács Tímea
110	Elek Zoltán
111	Ötvös István
112	Galambos Dóra
113	Molnár Ilonka
114	Szakács Katalin
115	Töreki Roland
116	Ötvös Albert
117	Szekeres Albert
118	Somos Luca
119	Magyar Béla
120	Gál Bence
121	Varga Dóri
122	Magyar Alajos
123	Szekeres Tamás
124	Szekeres Katalin
125	Bencsik Attila
126	Halász Gabriella
127	Balogh Tímea
128	Győri Béla
129	Rácz György
130	Bencsik Antal
131	Rácz Margit
132	Balogh Máté
133	Takács Gyula
134	Balogh Kitti
135	Kis Helga
136	Ötvös Ádám
137	Ötvös László
138	Hujber Helga
139	Fehér Anna
140	Magyar András
141	Juhász Anna
142	Galambos Viktória
143	Elek Dóra
144	Németh Alajos
145	Nagy Lilla
146	Ötvös Rebeka
147	Szilágyi András
148	Farkas Lajos
149	Nagy Tamás
150	Varga Gabriella
