id	nev	kezdeseve	vegzeseve
1	Kovács Jenő	2020	NULL
2	Sípos Gábor	2005	2009
3	Elek Béla	2014	2018
4	Halász Bence	2015	2019
5	Kocsis Klaudia	2015	2019
6	Elek Rudolf	2002	2006
7	Torma László	2011	2015
8	Szilágyi Margit	2013	2017
9	Szakács Mariann	2005	2009
10	Nagy Béla	2000	2004
11	Sípos Zsuzsanna	2006	2010
12	Farkas Alajos	2016	2020
13	Nagy Albert	2001	2005
14	Szilágyi Nándor	2018	2022
15	Juhász Roland	2001	2005
16	Farkas Réka	2012	2016
17	Győri Patrik	2020	NULL
18	Pataki Helga	2020	NULL
19	Szekeres Alexandra	2006	2010
20	Szakács Nándor	2019	2023
21	Vámos Viktória	2016	2020
22	Kocsis Kitti	2008	2012
23	Torma Attila	2018	2022
24	Pataki Gergely	2021	NULL
25	Takács Noémi	2017	2021
26	Kis Nóra	2021	NULL
27	Galambos László	2019	2023
28	Balogh Gyula	2003	2007
29	Galambos Klaudia	2003	2007
30	Takács Zoltán	2005	2009
31	Somos Bence	2016	2020
32	Vámos András	2000	2004
33	Sípos Nikolett	2019	2023
34	Bencsik Antal	2006	2010
35	Rácz András	2013	2017
36	Kiss Balázs	2008	2012
37	Szekeres Gabriella	2008	2012
38	Galambos Patrik	2018	2022
39	Mészáros Zsolt	2004	2008
40	Nagy Margit	2006	2010
41	Takács Alexandra	2003	2007
42	Molnár Rebeka	2001	2005
43	Juhász Gábor	2002	2006
44	Pataki Aladár	2015	2019
45	Fehér Mariann	2010	2014
46	Takács Gergely	2006	2010
47	Torma Eszter	2005	2009
48	Szekeres László	2011	2015
49	Ötvös Lili	2017	2021
50	Szekeres Noémi	2010	2014
51	Somos Kálmán	2001	2005
52	Galambos Dóri	2012	2016
53	Szabó Alajos	2012	2016
54	Töreki Gabriella	2022	NULL
55	Torma József	2002	2006
56	Töreki Zsófia	2004	2008
57	Kis Martin	2015	2019
58	Szakács Klaudia	2009	2013
59	Tóth László	2018	2022
60	Molnár Rudolf	2021	NULL
61	Rácz Anna	2013	2017
62	Ötvös Máté	2004	2008
63	Somos Réka	2000	2004
64	Szekeres Alajos	2020	NULL
65	Varga Rudolf	2016	2020
66	Nagy Roland	2015	2019
67	Németh Aladár	2012	2016
68	Pécsi Gyula	2011	2015
69	Nagy László	2014	2018
70	Rácz Eszter	2014	2018
71	Németh Patrik	2019	2023
72	Elek Lajos	2022	NULL
73	Somos Eszter	2022	NULL
74	Juhász Réka	2014	2018
75	Szilágyi Barbara	2010	2014
76	Juhász Rebeka	2017	2021
77	Kis Antal	2005	2009
78	Töreki Henrietta	2013	2017
79	Juhász Bálint	2016	2020
80	Varga Tímea	2022	NULL
81	Hujber Henrietta	2009	2013
82	Bencsik Helga	2017	2021
83	Kis Nándor	2015	2019
84	Fekete Dóra	2018	2022
