ID	szolgaltatoid	ugyfelid	telefonszam	mobilid
1	2	147	301109018	13
2	3	1	208412581	7
3	2	97	304331684	3
4	1	95	201457496	9
5	3	197	701458205	6
6	2	160	701811360	1
7	3	191	701801161	4
8	2	171	306046722	15
9	1	19	304925359	13
10	3	179	203475152	6
11	1	1	309017587	7
12	1	11	708198370	1
13	1	2	703886391	13
14	3	8	304461554	8
15	1	70	201604368	15
16	3	138	309466341	15
17	3	38	701376956	13
18	3	16	203112650	14
19	3	173	301872032	15
20	2	6	307341992	3
21	2	108	202995922	7
22	3	196	207791640	13
23	1	22	309042857	13
24	3	11	706112269	11
25	1	85	206738070	14
26	3	20	308941897	6
27	3	62	303889723	10
28	3	133	207060006	15
29	1	192	709172334	9
30	3	6	306422461	1
31	1	195	308430791	11
32	1	35	208615002	4
33	2	170	701428511	12
34	2	111	702018738	15
35	3	168	208112092	9
36	3	181	709672715	12
37	3	195	302041850	5
38	3	193	709586100	8
39	3	25	306461993	1
40	2	144	706337454	11
41	2	146	203983724	3
42	1	52	308625313	4
43	3	130	205651614	12
44	3	57	209869437	7
45	2	47	209363384	15
46	2	13	304227560	3
47	1	166	307451937	14
48	3	56	205473717	5
49	3	32	703854456	4
50	1	186	204577228	9
51	2	13	707717628	4
52	3	168	706047736	5
53	1	122	202219048	11
54	2	168	701626132	10
55	2	177	708034885	2
56	3	15	702617618	4
57	2	77	207888602	15
58	2	71	203876768	10
59	1	106	207425958	8
60	2	31	204182412	9
61	3	157	701577079	7
62	3	20	204329304	14
63	2	7	309755811	14
64	3	198	305508606	14
65	2	31	709421814	9
66	1	113	703336817	5
67	3	29	303825393	15
68	2	41	203194595	7
69	2	60	706958686	12
70	1	78	202974366	5
71	3	35	204700329	8
72	1	36	304531372	9
73	3	170	302605585	2
74	3	195	208985776	14
75	1	90	304930555	5
76	2	64	309507394	3
77	1	8	209444919	1
78	3	41	704396541	12
79	3	165	309885263	12
80	2	124	307202049	7
81	2	38	205771769	14
82	3	21	302045295	15
83	1	24	209279129	7
84	1	118	206417837	7
85	3	160	706581297	1
86	2	182	303075052	8
87	3	189	701954280	13
88	2	51	201350099	8
89	2	142	203028828	11
90	2	41	703859414	13
91	3	125	308378180	1
92	1	134	708146685	2
93	2	160	705647211	12
94	2	167	204387831	7
95	2	19	707943748	2
96	3	189	201959158	3
97	2	160	306745092	5
98	2	160	707018067	1
99	1	66	309619058	1
100	1	161	306146146	14
101	2	124	708286441	14
102	1	118	203523155	2
103	2	76	203082810	14
104	3	23	208714916	8
105	3	31	708623039	3
106	2	152	202825480	3
107	3	86	707655301	14
108	1	105	309187449	8
109	3	109	709901235	11
110	1	54	703874368	3
111	1	190	204531242	9
112	1	47	204631616	5
113	3	103	202294075	11
114	3	94	705849470	12
115	3	151	709631895	7
116	3	122	309807330	6
117	1	81	308400273	14
118	3	186	301607880	13
119	2	113	709604799	6
120	3	193	305390777	14
121	3	20	208781300	9
122	3	101	306994500	2
123	2	61	208219983	5
124	2	4	205724831	9
125	2	30	208306718	14
126	3	125	209479050	15
127	2	86	206307508	11
128	1	54	202696416	4
129	3	79	202790358	9
130	3	164	207594324	14
131	2	96	304253707	13
132	2	112	202042289	12
133	2	183	206580463	10
134	3	152	702890006	1
135	3	179	305297622	6
136	1	158	207705177	1
137	1	187	301410855	5
138	3	104	207382020	12
139	2	67	203761384	15
140	3	28	706374536	5
141	3	193	707675429	12
142	1	178	206162231	3
143	2	130	709730111	5
144	3	35	702662319	1
145	1	34	302588752	11
146	2	134	709155095	6
147	1	175	704941933	6
148	3	160	202148068	5
149	2	176	301671696	4
150	1	188	308946246	8
151	2	14	209797076	11
152	3	158	308384447	5
153	2	54	306968678	2
154	3	95	207757454	1
155	2	20	305273359	5
156	3	89	701395455	13
157	1	56	706898788	2
158	3	84	704236050	1
159	3	66	705459953	7
160	2	168	702384157	2
161	1	76	303945877	11
162	3	28	207043977	6
163	1	157	304135328	2
164	1	189	309250952	8
165	1	163	309958096	15
166	1	184	305958633	8
167	3	178	307293153	14
168	2	180	301653434	3
169	1	65	706081725	9
170	1	11	205929099	1
171	2	93	302401972	11
172	1	105	308964761	12
173	2	21	209595967	15
174	3	138	205360299	6
175	1	33	201194024	1
176	2	157	201069454	3
177	3	50	707844234	14
178	1	122	204564379	5
179	2	37	309504902	14
180	2	166	303825987	7
181	1	144	705165401	8
182	1	92	305458331	6
183	1	115	709754155	7
184	3	44	307020594	7
185	3	46	209459746	8
186	1	197	706855772	6
187	2	81	306608569	12
188	2	174	702473902	13
189	3	71	707270683	2
190	2	55	205271552	2
191	1	90	309385388	8
192	2	11	704585238	5
193	1	19	306294390	2
194	3	197	207941185	13
195	1	58	703553980	7
196	3	172	202674926	13
197	1	135	202547561	1
198	2	142	201662206	14
199	1	111	209124812	6
200	1	71	308530112	1
201	1	177	303951192	5
202	3	18	707664991	11
203	1	115	708617523	5
204	1	118	302516514	3
205	3	110	708123926	13
206	1	182	301515729	12
207	3	14	305145450	11
208	1	21	707472288	6
209	2	124	702086835	10
210	1	141	206642764	8
211	3	97	209667419	12
212	1	113	308400947	4
213	3	29	203708866	13
214	2	56	206333405	9
215	3	134	207566239	7
216	2	187	206517036	8
217	3	125	209679085	8
218	3	28	309523382	2
219	3	58	705387159	11
220	1	51	306296182	5
221	3	81	207948413	7
222	2	69	703338850	6
223	3	23	306823270	1
224	3	142	703206937	11
225	1	80	706666769	9
226	3	39	304424592	5
227	2	24	202341095	13
228	2	117	203528016	3
229	2	39	206748588	2
230	2	155	201583233	6
231	2	160	707593169	6
232	3	35	706986781	6
233	2	133	304715452	2
234	2	47	204755211	15
235	3	24	704291103	4
236	1	131	202969765	10
237	1	114	205112331	12
238	3	149	703671438	15
239	3	84	203709913	7
240	2	103	303864812	15
241	2	30	301106213	2
242	3	151	706461482	1
243	1	10	204495242	5
244	1	183	701600365	3
245	1	166	205356244	12
246	2	182	309210200	14
247	2	123	702639549	7
248	2	77	207051161	11
249	2	71	703566414	8
250	2	72	308442842	6
251	3	101	203461015	5
252	2	175	701965507	12
253	3	160	306808060	9
254	3	141	205051601	14
255	3	73	304876089	4
256	3	39	208132909	8
257	2	98	707084796	1
258	2	18	705688912	1
259	2	45	305067645	2
260	2	146	305768558	2
261	1	16	704333679	14
262	2	175	705041066	10
263	1	138	706264302	10
264	2	19	203124662	15
265	3	58	206817797	2
266	3	126	308566139	10
267	3	59	705088400	4
268	2	97	201635597	13
269	3	153	301951308	11
